Model,Percentage,MSE,MAE,RMSE
finetune,50,0.5147375126345177,0.5352526575996449,0.7174520977978375
finetune,40,0.32354264887040146,0.44418290296032387,0.5688080949409928
finetune,30,0.19441043739744976,0.34301014424491066,0.44091998979117486
finetune,20,0.24777059849100305,0.3892006942591293,0.49776560597434116
finetune,10,0.24580220210823547,0.38649596999641805,0.495784431086975
scratch,50,0.22220331660364137,0.3647366242982947,0.4713844679278703
Simulated,0,10.703918717549953,2.722851553191392,3.2716843853816266
finetune,50,0.18407848165856727,0.3242140165260486,0.4290436826927618
finetune,40,0.2234231678439726,0.37543018795014205,0.4726765996365513
finetune,30,0.32865514521091693,0.435998525953139,0.5732845237845837
finetune,20,0.18862675612525023,0.3357517649097006,0.4343118190024884
finetune,10,0.1641525144293345,0.32261930512406023,0.4051573946373613
scratch,50,0.10034910070742731,0.2396251820784656,0.3167792618013801
Simulated,0,8.399463847268072,2.362931707339312,2.8981828526281896
finetune,50,0.8721623874833345,0.7035547205154665,0.9338963472909263
finetune,40,0.6614699993601101,0.6623703259096,0.8133080593232248
finetune,30,0.4501023486389165,0.5435119689493075,0.670896675084112
finetune,20,0.6296444779304476,0.6466954852377063,0.7935014038616741
finetune,10,1.2482520237749148,0.8664667514309643,1.1172519965410288
scratch,50,0.6342843843290369,0.5961896708334956,0.7964197287417213
Simulated,0,8.52858857974352,2.4698120420125016,2.9203747327600817
finetune,50,0.275878141854363,0.3964641757867349,0.5252410321503481
finetune,40,0.36107376805029234,0.46442382184159303,0.6008941404692613
finetune,30,0.2356014964463631,0.3865490578004894,0.48538798547797113
finetune,20,0.2536501063876192,0.3859924929268046,0.5036368794951569
finetune,10,0.5075441413623805,0.5425261320615488,0.7124213229279289
scratch,50,0.22648460215068175,0.37355975717766293,0.4759039841718934
Simulated,0,8.55027625614665,2.466344929822884,2.924085541865465
finetune,50,0.30209221353269183,0.4389761208097317,0.5496291600094484
finetune,40,0.3196019459843018,0.45110592456510445,0.5653334821008763
finetune,30,0.34157548405422067,0.43985988745072263,0.5844445945119354
finetune,20,0.411564668469381,0.48372763933942675,0.6415330610883441
finetune,10,0.4432361080123234,0.5130410503185482,0.6657597975338578
scratch,50,0.49322958123412836,0.5204641752995385,0.7023030551223085
Simulated,0,7.6890959190047665,2.293732308346924,2.772921910008424
finetune,50,0.20232062426161138,0.34404799033166444,0.44980064946775183
finetune,40,0.2767799840190045,0.40774788719972105,0.5260988348390485
finetune,30,0.2875783706375713,0.42437177020127786,0.5362633407548677
finetune,20,0.3474060221518263,0.452006835271182,0.5894115897671391
finetune,10,0.32773670267630095,0.4579144467387096,0.572482927847024
scratch,50,0.17079266528722478,0.31731285274713666,0.41327069250943116
Simulated,0,8.585480547112097,2.4373991245043096,2.930099067798237
finetune,50,0.34721887991716693,0.4356276264374389,0.5892528149420815
finetune,40,0.23706517956751647,0.38542820331465616,0.48689339651253893
finetune,30,0.25148803392134267,0.3894460844794557,0.5014858262417221
finetune,20,0.19413091048213638,0.3331666579382433,0.44060289431883715
finetune,10,0.3914516996552233,0.5065684684158123,0.6256610101766158
scratch,50,0.1699250379650153,0.329412978494167,0.4122196477183193
Simulated,0,9.335145702093907,2.517532442520605,3.0553470673712186
finetune,50,0.41694450985321474,0.45058084659223413,0.6457124049088842
finetune,40,0.27741566216889496,0.3923243857707654,0.5267026316327791
finetune,30,0.2518615655364143,0.3864441390023572,0.5018581129526695
finetune,20,0.24937670246280372,0.39361957025185884,0.4993763134779259
finetune,10,0.27417413696028753,0.39033016378364105,0.5236164024935501
scratch,50,0.3328163295019424,0.4283373936758551,0.5769023569911483
Simulated,0,12.290703380060341,2.924008856159777,3.5058099463690757
finetune,50,0.15029734623074514,0.30230498717425597,0.3876820169039894
finetune,40,0.21577469961284904,0.3699238152172827,0.46451555368238107
finetune,30,0.803267289652127,0.6770275971026336,0.8962518003620004
finetune,20,0.4306652878681563,0.48948131260489525,0.6562509336131692
finetune,10,0.5176041791985373,0.5496916932046266,0.7194471344015051
scratch,50,0.6498869013230659,0.6216681479095557,0.8061556309566199
Simulated,0,11.70033792352922,2.750507015795746,3.4205756713642836
finetune,50,0.18042456216682845,0.3289445659013352,0.42476412532937435
finetune,40,0.1625721036576043,0.3203966402243333,0.4032023110767153
finetune,30,0.3075115316540068,0.4318845424861629,0.5545372229652459
finetune,20,0.2506244188227763,0.3910061082027852,0.5006240294100717
finetune,10,0.35402426254971203,0.4685787375095065,0.5949993802935529
scratch,50,0.34741007308541133,0.46057185490207486,0.5894150261788473
Simulated,0,10.73822712418457,2.739391054206549,3.276923423607053
finetune,50,0.27509202056692433,0.41448970207541563,0.5244921549145652
finetune,40,0.4775236846960674,0.5383408490941219,0.6910308854863633
finetune,30,0.3355925345453131,0.45731471090215703,0.5793034908796193
finetune,20,0.2935190533287334,0.43200182539124143,0.5417739873127293
finetune,10,0.5401247584707932,0.5711607743826879,0.7349318053199175
scratch,50,0.429539853885583,0.5024928957987113,0.6553929003930261
Simulated,0,8.576079489309864,2.33750341457946,2.9284944065696736
finetune,50,0.270897092077059,0.4084966045931151,0.5204777536812298
finetune,40,0.2699502464769511,0.4153971220858648,0.5195673647150589
finetune,30,0.21989246952928304,0.37009399766121276,0.46892693410517916
finetune,20,0.2935181047794908,0.41545709429153543,0.5417731119015513
finetune,10,0.31845122363902095,0.45045431513015866,0.5643148267049352
scratch,50,0.426360184446244,0.4994214220610082,0.6529626210176537
Simulated,0,10.115602460739847,2.618854339178724,3.180503491703766
finetune,50,0.5156184683713476,0.5666193853348731,0.718065782760429
finetune,40,0.5811390511240941,0.591544400055692,0.7623247674869905
finetune,30,0.5922963198305775,0.606445601345501,0.7696079000572807
finetune,20,0.6279171417040388,0.6230793156236598,0.7924122296532524
finetune,10,0.7671204451123987,0.6976743424097289,0.8758541231919839
scratch,50,0.8842735222166584,0.7088252220418008,0.9403581882541665
Simulated,0,9.313633129394232,2.44837236757369,3.0518245574400624
finetune,50,0.25186842101543777,0.3933130133299408,0.5018649430030332
finetune,40,0.590096160350762,0.580397592732044,0.7681771672933022
finetune,30,0.5185186655956315,0.5536294263488721,0.720082401948299
finetune,20,0.38487363578024436,0.49748925205737277,0.6203818467526627
finetune,10,0.3946857233565144,0.4937248067133016,0.628240179673757
scratch,50,0.33613072215834006,0.45783202295298864,0.5797678174565574
Simulated,0,9.89135731355739,2.622422150432559,3.1450528316003514
finetune,50,0.9286646033368342,0.6801125469865027,0.9636724564585387
finetune,40,0.9767190849075887,0.7347481988220277,0.9882909920198548
finetune,30,0.8436478477067179,0.6610338699300551,0.9185030471951183
finetune,20,0.731713793165606,0.6533482337723265,0.8554027081822959
finetune,10,1.0014049192371355,0.7320282000461038,1.000702213066972
scratch,50,0.6726603617534291,0.6105960278706273,0.8201587418015058
Simulated,0,8.37564326619564,2.4118364494256332,2.8940703630346722
finetune,50,0.39355313177345685,0.46728847418784514,0.6273381319300277
finetune,40,0.2403725899748179,0.38336424502539973,0.49027807413223967
finetune,30,0.17690010670331402,0.33280798182859606,0.4205949437443513
finetune,20,0.3630246947984134,0.4566845256589962,0.6025153066922146
finetune,10,0.38593930062121323,0.45699235580913516,0.6212401312062938
scratch,50,0.4180466900413523,0.48377737895742934,0.6465653022250362
Simulated,0,13.048322119084796,2.9926646542804667,3.6122461321295365
finetune,50,0.6973205090931792,0.6082036002608958,0.8350571891153199
finetune,40,0.7651595634045163,0.666408693596171,0.8747339957978747
finetune,30,0.678393779511362,0.6026579911804999,0.8236466350998843
finetune,20,0.33726914867925784,0.44247581838156924,0.580748782761753
finetune,10,0.5477573791826716,0.563815443266858,0.740106329646404
scratch,50,0.6184064612393486,0.5656972460170188,0.78638823823818
Simulated,0,12.016830212586664,2.747988001470736,3.4665299959161846
finetune,50,0.22397967919316222,0.36195557990745414,0.4732649143906214
finetune,40,0.3117274665136745,0.43429816604215693,0.5583255918491239
finetune,30,0.21085197246554158,0.3465958491130434,0.4591862067457401
finetune,20,0.2186583829511741,0.35793731202541385,0.46760922034448177
finetune,10,0.2885341422077354,0.413354985020634,0.5371537416864332
scratch,50,0.19839465585638588,0.35367857466157504,0.4454151500077045
Simulated,0,9.092428544566008,2.54064588892961,3.015365408133152
finetune,50,0.6853679133698602,0.5691936726806589,0.8278695026209507
finetune,40,0.34625840571737837,0.42817700231976474,0.5884372572478551
finetune,30,0.38371065497214113,0.4758742251954149,0.6194438271321631
finetune,20,0.31550819856038964,0.4271968084407332,0.5617011648202179
finetune,10,0.4500983349464277,0.4992106234097492,0.6708936837878471
scratch,50,0.7879413255689138,0.599625545371821,0.8876605914249623
Simulated,0,11.654308086476115,2.83790928749291,3.413840665068614
finetune,50,0.20768844733320435,0.3498239334689611,0.4557284798355314
finetune,40,0.31482649031405713,0.43196466434222097,0.561094012010516
finetune,30,0.24293254895201413,0.38998813599459453,0.49288188133873834
finetune,20,0.24230500388313903,0.38822469339762045,0.49224486171329307
finetune,10,0.3784060744363468,0.4850970643954727,0.6151471973733984
scratch,50,0.3692075303876539,0.46529172841361804,0.6076244978501557
Simulated,0,9.12905320387004,2.524439263534131,3.0214323099930667
finetune,50,0.4900743431797622,0.5354440415115819,0.700053100257232
finetune,40,0.36207017147529463,0.48461119694908517,0.601722669903083
finetune,30,0.2660468618560308,0.3920058177681624,0.5157973069491841
finetune,20,0.30555047360480403,0.4354812722815262,0.5527662015760406
finetune,10,0.25447005573406556,0.38782630611827934,0.5044502510001017
scratch,50,0.3627254598568932,0.42506027963362586,0.6022669340557335
Simulated,0,8.118847827544839,2.296551873192232,2.8493591959500013
finetune,50,0.6581675105857302,0.5548481503823334,0.8112752372565862
finetune,40,0.7118593277587605,0.5999752526825158,0.8437175639743199
finetune,30,0.5519521739181539,0.5345205258453878,0.7429348382719402
finetune,20,0.5441597228103431,0.5404695459681058,0.7376718259567348
finetune,10,0.9635489542411813,0.6753087008161,0.9816052945258503
scratch,50,0.3735708300542283,0.4615279127148433,0.6112044093870955
