Model,Percentage,MSE,MAE,RMSE
Simulated,,0.04104222266323634,0.16674230609110913,0.20258880191964299
Simulated,,0.1150048243631245,0.2567913149426481,0.33912361221702697
Simulated,,0.0359036646977331,0.14695608225108853,0.1894826237356162
Simulated,,0.07153459054216026,0.20717353019885607,0.2674595119679991
Simulated,,0.056087399614495125,0.19119449938827437,0.23682778471812618
Simulated,,0.05045176955605564,0.17982655046917995,0.2246147135787316
Simulated,,0.02903667314491542,0.13332034457692432,0.17040150570025905
Simulated,,0.16918367697568495,0.3353362029554368,0.4113194342304834
Simulated,,0.03311227834770521,0.13635209601036802,0.1819677948091508
Simulated,,0.05197377541109295,0.17791629245655427,0.22797757655324996
Simulated,,0.0321995649709338,0.14145289896011257,0.1794423722840673
Simulated,,0.05697452927718721,0.18305397975355597,0.23869337920685443
Simulated,,0.04367479125511729,0.16251020861478827,0.20898514601549387
Simulated,,0.06417637950080249,0.19259291192771927,0.253330573561113
Simulated,,0.040985651208922134,0.1684861120244993,0.20244913239854137
Simulated,,0.16252661417496977,0.3112767263552863,0.40314589688470076
Simulated,,0.04096854746705226,0.164619629555695,0.2024068859180741
Simulated,,0.06260450035337525,0.20690295599954872,0.2502089134171188
Simulated,,0.0797314732571963,0.23486575392873632,0.28236762076625627
Simulated,,0.12295493183093485,0.28190007226246355,0.3506493003428566
Simulated,,0.12497634210500137,0.26476407787389905,0.35351993169410034
Simulated,,0.04651596028409485,0.1792664004566738,0.2156755903761361
Simulated,,0.0648427426042662,0.20143107854805517,0.25464238179114296
Simulated,,0.06304964623596845,0.20528786000983293,0.25109688615346953
Simulated,,0.1130399773147454,0.2636930027388978,0.3362141836906132
Simulated,,0.05738993390471893,0.16317368784905956,0.2395619625581635
Simulated,,0.034943572286098575,0.15258012896615394,0.1869319990961916
Simulated,,0.032377224029175256,0.1423296213044714,0.17993672229196367
Simulated,,0.027989983094442353,0.12561185758874477,0.16730207139913825
Simulated,,0.10028094645780233,0.23888786905686998,0.31667166980612954
Simulated,,0.15202314982919812,0.312226375753896,0.38990146169153833
Simulated,,0.06332007809365361,0.20064974560212925,0.2516348109734693
Simulated,,0.026629554032356378,0.12912454364443582,0.16318564284996515
